experiment,dataset,repeat,method,seed,target_seed,n_samples,burn_in,pre_burn,tuning_profile,time_sec,preprocess_time_sec,sampling_time_sec,covariance_samples,covariance_source,burn_covariance_time_sec,gvi_covariance_time_sec,tuning_time_sec,ess_mean,efficiency,p_jump,rho1,epsilon,L,hmc_initial_epsilon,hmc_initial_L,hmc_gvi_tune_acceptance,hmc_gvi_tune_efficiency,hmc_gvi_tune_rho1,gvi_iterations,gvi_rank
4.2.1_logistic,german,3,MALA,32160,,1000000,10000,10000,expanded_hmc_gvi_tuned,68.79067030000442,2.311147999993409,66.47952160000568,10000.0,mala_pre_burn,1.5063034999911906,,0.8048445000022184,146569.77313825185,0.1465697731382518,0.573660396039604,0.7289389313796087,1.5193388724637278,,,,,,,,
4.2.1_logistic,german,3,RMH,32134,,1000000,10000,10000,expanded_hmc_gvi_tuned,22.56710770000064,0.2142997000046307,22.35280759999296,10000.0,rmh_pre_burn,0.2142997000046307,,0.0,11027.632771656516,0.0110276327716565,0.2463702970297029,0.9744581195702589,,,,,,,,,
4.2.3_glmm,glmm_polypharmacy,1,HMC,14176,,1000000,10000,10000,expanded_hmc_gvi_tuned,9452.157337800005,760.9038746000006,8691.253069800005,10000.0,hmc_pre_burn,494.1837421999953,,660.7922735000029,764984.6504399444,0.7649846504399443,0.9957039603960396,0.0174908794696601,0.0403694124914823,40.0,0.0403694124914823,32.0,,,,,
4.2.3_glmm,glmm_polypharmacy,1,HMC-GVI,14190,,1000000,10000,10000,hmc_gvi_grid_rho_constrained,3228.9152551000006,67.22538640000857,3161.670829399984,,sparse_precision_gvi,,4.889433800010011,62.33595259999856,919469.0040400274,0.9194690040400274,0.8755663366336633,-0.0498153828545341,0.24,8.0,,,0.8825,0.9089926270325938,-0.0511710165533805,14184.0,
4.2.3_glmm,glmm_polypharmacy,2,HMC,24176,,1000000,10000,10000,expanded_hmc_gvi_tuned,7244.243098999999,900.4238082999946,6343.818869199997,10000.0,hmc_pre_burn,492.0918466999865,,812.7091105,811999.412274248,0.811999412274248,0.9405574257425744,-0.0469709642778965,0.15,12.0,0.0423773511415934,24.0,,,,,
4.2.3_glmm,glmm_polypharmacy,2,HMC-GVI,24190,,1000000,10000,10000,hmc_gvi_grid_rho_constrained,3220.499363399984,65.40069009998115,3155.0824916999845,,sparse_precision_gvi,,4.847378899983596,60.55331119999755,914728.1818060668,0.9147281818060666,0.8756920792079208,-0.0467267587894265,0.24,8.0,,,0.8616666666666667,0.8987493547936746,-0.0401078489245128,14490.0,
4.2.3_glmm,glmm_polypharmacy,3,HMC,34176,,1000000,10000,10000,expanded_hmc_gvi_tuned,12874.316979299998,949.0623413999856,11925.2541681,10000.0,hmc_pre_burn,541.6274685999961,,812.6154558999842,848009.8322000417,0.8480098322000418,0.995459405940594,-0.0216391122722799,0.0414345075076694,40.0,0.0414345075076694,40.0,,,,,
4.2.3_glmm,glmm_polypharmacy,3,HMC-GVI,34190,,1000000,10000,10000,hmc_gvi_grid_rho_constrained,3221.3818059000187,64.78156659999513,3156.584009600017,,sparse_precision_gvi,,4.923278500005836,59.858288099989295,916492.6792065294,0.9164926792065294,0.874790099009901,-0.0476777427264138,0.24,8.0,,,0.8825,0.9274592638635804,-0.0688856572197181,14526.0,
4.2.1_logistic,pima,1,AM,11146,,1000000,10000,10000,expanded_hmc_gvi_tuned,45.54478090000339,0.0,45.54478090000339,,adaptive,,,0.0,38192.6850808032,0.0381926850808032,0.2495811881188119,0.924794751880848,,,,,,,,,
4.2.1_logistic,pima,1,HMC,11176,,1000000,10000,10000,expanded_hmc_gvi_tuned,397.6397181999928,144.5860501999996,253.05364259998896,10000.0,hmc_pre_burn,73.91302790000918,,143.2786044999957,916749.2414631824,0.9167492414631824,0.9386108910891088,0.0171418141156582,0.4606645800027612,10.0,0.0623441714117489,4.0,,,,,
